Proportion Mature											
1	6											
1968	2022											
1	10											
1												
0.259	0.694	0.885	0.947	1	1	1	1	1	1
0.259	0.701	0.889	0.949	1	1	1	1	1	1
0.259	0.707	0.892	0.951	1	1	1	1	1	1
0.259	0.714	0.896	0.953	1	1	1	1	1	1
0.26	0.72	0.9	0.955	1	1	1	1	1	1
0.26	0.727	0.904	0.957	1	1	1	1	1	1
0.261	0.734	0.907	0.959	1	1	1	1	1	1
0.261	0.74	0.911	0.96	1	1	1	1	1	1
0.263	0.747	0.915	0.962	1	1	1	1	1	1
0.264	0.754	0.919	0.964	1	1	1	1	1	1
0.266	0.76	0.922	0.966	1	1	1	1	1	1
0.268	0.765	0.925	0.968	1	1	1	1	1	1
0.27	0.771	0.928	0.969	1	1	1	1	1	1
0.273	0.776	0.931	0.971	1	1	1	1	1	1
0.277	0.78	0.934	0.972	1	1	1	1	1	1
0.281	0.784	0.937	0.974	1	1	1	1	1	1
0.285	0.788	0.939	0.975	1	1	1	1	1	1
0.29	0.791	0.941	0.976	1	1	1	1	1	1
0.296	0.794	0.943	0.977	1	1	1	1	1	1
0.301	0.797	0.945	0.978	1	1	1	1	1	1
0.307	0.799	0.946	0.979	1	1	1	1	1	1
0.312	0.802	0.948	0.979	1	1	1	1	1	1
0.317	0.803	0.949	0.98	1	1	1	1	1	1
0.322	0.805	0.95	0.981	1	1	1	1	1	1
0.325	0.806	0.951	0.981	1	1	1	1	1	1
0.328	0.807	0.952	0.982	1	1	1	1	1	1
0.33	0.808	0.954	0.982	1	1	1	1	1	1
0.331	0.808	0.955	0.983	1	1	1	1	1	1
0.33	0.809	0.956	0.984	1	1	1	1	1	1
0.328	0.809	0.958	0.984	1	1	1	1	1	1
0.325	0.809	0.96	0.985	1	1	1	1	1	1
0.32	0.809	0.961	0.986	1	1	1	1	1	1
0.314	0.809	0.964	0.987	1	1	1	1	1	1
0.307	0.808	0.966	0.988	1	1	1	1	1	1
0.299	0.807	0.968	0.989	1	1	1	1	1	1
0.289	0.806	0.97	0.99	1	1	1	1	1	1
0.279	0.804	0.972	0.991	1	1	1	1	1	1
0.268	0.801	0.974	0.992	1	1	1	1	1	1
0.257	0.799	0.976	0.993	1	1	1	1	1	1
0.246	0.795	0.978	0.994	1	1	1	1	1	1
0.234	0.791	0.979	0.994	1	1	1	1	1	1
0.222	0.787	0.981	0.995	1	1	1	1	1	1
0.21	0.782	0.982	0.996	1	1	1	1	1	1
0.198	0.776	0.984	0.997	1	1	1	1	1	1
0.185	0.77	0.985	0.997	1	1	1	1	1	1
0.171	0.763	0.986	0.998	1	1	1	1	1	1
0.158	0.756	0.988	0.999	1	1	1	1	1	1
0.144	0.748	0.989	0.999	1	1	1	1	1	1
0.129	0.74	0.99	1	1	1	1	1	1	1
0.115	0.732	0.991	1	1	1	1	1	1	1
0.1	0.724	0.992	1	1	1	1	1	1	1
0.086	0.716	0.993	1	1	1	1	1	1	1
0.071	0.708	0.994	1	1	1	1	1	1	1
0.057	0.7	0.994	1	1	1	1	1	1	1
0.042	0.693	0.995	1	1	1	1	1	1	1
